ts,temperature,dew_point,rel_humidity,wind_dir,wind_speed,visibility,stn_pressure,humidex,wind_chill,notes
2013-01-03D12:00:00.000000000,-3.8,-6.8,80,220,13,16.1,99.48,,-9,Snow
2013-01-03D13:00:00.000000000,-3.1,-6.8,76,240,30,9.7,99.36,,-11,Snow
2013-01-03D14:00:00.000000000,-2.5,-7,71,240,17,24.1,99.3,,-8,Mostly Cloudy
2013-01-03D15:00:00.000000000,-2.1,-7.3,68,250,22,19.3,99.3,,-8,Cloudy
2013-01-03D16:00:00.000000000,-2.4,-6.9,71,270,22,24.1,99.33,,-9,Cloudy
2013-01-03D17:00:00.000000000,-2.3,-6.5,73,270,20,19.3,99.4,,-8,Cloudy
2013-01-03D18:00:00.000000000,-2.4,-6.1,76,260,30,19.3,99.44,,-10,Cloudy
2013-01-03D19:00:00.000000000,-2.8,-6.1,78,260,32,19.3,99.49,,-10,Cloudy
2013-01-03D20:00:00.000000000,-2.8,-6.1,78,240,30,16.1,99.47,,-10,Snow
2013-01-03D21:00:00.000000000,-2.1,-5.7,76,260,30,16.1,99.46,,-9,Snow
2013-01-03D22:00:00.000000000,-1.7,-5.3,76,260,28,16.1,99.49,,-8,Cloudy
2013-01-03D23:00:00.000000000,-1.5,-5.4,75,250,22,16.1,99.51,,-7,Cloudy
2013-01-04D00:00:00.000000000,-1.4,-6,71,260,20,16.1,99.43,,-7,Cloudy
2013-01-04D01:00:00.000000000,-1.2,-6.1,69,250,26,24.1,99.38,,-8,Cloudy
2013-01-04D02:00:00.000000000,-1.5,-6.7,68,270,32,24.1,99.39,,-9,Cloudy
2013-01-04D03:00:00.000000000,-1.7,-6.8,68,260,30,24.1,99.4,,-9,Cloudy
2013-01-04D04:00:00.000000000,-2,-6.9,69,260,26,24.1,99.33,,-9,Cloudy
2013-01-04D05:00:00.000000000,-2.2,-7,70,250,35,24.1,99.2,,-10,Mostly Cloudy
2013-01-04D06:00:00.000000000,-1.9,-6.9,69,250,33,24.1,99.23,,-9,Cloudy
2013-01-04D07:00:00.000000000,-1.8,-6.4,71,260,43,24.1,99.15,,-10,Cloudy
2013-01-04D08:00:00.000000000,-1.7,-6.5,70,260,39,24.1,99.19,,-10,Mostly Cloudy
2013-01-04D09:00:00.000000000,-1.7,-6.4,70,250,43,24.1,99.12,,-10,Mostly Cloudy
2013-01-04D10:00:00.000000000,-1.6,-6.2,71,250,46,24.1,99.14,,-10,Mostly Cloudy
2013-01-04D11:00:00.000000000,-1,-6.2,68,260,33,24.1,99.23,,-8,Mostly Cloudy
2013-01-04D12:00:00.000000000,-0.9,-6.2,67,260,33,24.1,99.15,,-8,Mostly Cloudy
2013-01-04D13:00:00.000000000,-1,-6.3,67,250,35,24.1,99.07,,-8,Cloudy
2013-01-04D14:00:00.000000000,-1.3,-6.6,67,260,33,24.1,99.06,,-8,Cloudy
2013-01-04D15:00:00.000000000,-1.7,-5.9,73,250,39,19.3,99.06,,-10,Cloudy
2013-01-04D16:00:00.000000000,-1.7,-6,72,250,30,19.3,99.1,,-9,Cloudy
2013-01-04D17:00:00.000000000,-2,-6.2,73,240,20,19.3,99.17,,-8,Cloudy
2013-01-04D18:00:00.000000000,-2.2,-6,75,250,22,19.3,99.21,,-8,Cloudy
2013-01-04D19:00:00.000000000,-2.3,-6.5,73,250,28,19.3,99.28,,-9,Cloudy
2013-01-04D20:00:00.000000000,-2.5,-6.5,74,250,32,19.3,99.29,,-10,Cloudy
2013-01-04D21:00:00.000000000,-2.3,-6,76,250,28,19.3,99.33,,-9,Cloudy
2013-01-04D22:00:00.000000000,-2,-5.6,76,250,26,19.3,99.43,,-9,Cloudy
2013-01-04D23:00:00.000000000,-1.4,-4.6,79,240,22,16.1,99.5,,-7,Cloudy
2013-01-05D00:00:00.000000000,-0.3,-3.8,77,270,20,24.1,99.55,,-6,Mostly Cloudy
2013-01-05D01:00:00.000000000,0.2,-3.7,75,270,22,24.1,99.62,,,Cloudy
2013-01-05D02:00:00.000000000,-0.1,-3.5,78,250,20,24.1,99.73,,-5,Cloudy
2013-01-05D03:00:00.000000000,-0.1,-3.5,78,250,24,24.1,99.8,,-6,Cloudy
2013-01-05D04:00:00.000000000,-0.2,-3.2,80,270,20,24.1,99.87,,-5,Cloudy
2013-01-05D05:00:00.000000000,0,-3.1,80,270,19,24.1,99.95,,-5,Cloudy
2013-01-05D06:00:00.000000000,-0.1,-3,81,260,20,24.1,100.05,,-5,Cloudy
2013-01-05D07:00:00.000000000,-0.1,-2.8,82,260,13,24.1,100.15,,-4,Cloudy
2013-01-05D08:00:00.000000000,0.1,-2.8,81,260,17,19.3,100.24,,,Cloudy
2013-01-05D09:00:00.000000000,-0.4,-3.2,81,230,6,19.3,100.32,,-2,Cloudy
2013-01-05D10:00:00.000000000,-0.2,-3.4,79,220,9,19.3,100.33,,-3,Cloudy
2013-01-05D11:00:00.000000000,0.4,-3.6,74,230,17,24.1,100.27,,,Mostly Cloudy
2013-01-05D12:00:00.000000000,1,-3.9,70,250,17,24.1,100.27,,,Mostly Cloudy
2013-01-05D13:00:00.000000000,1.3,-4.6,65,240,15,24.1,100.17,,,Mostly Cloudy
2013-01-05D14:00:00.000000000,0.6,-4.2,70,220,15,24.1,100.14,,,Mostly Cloudy
2013-01-05D15:00:00.000000000,0.2,-4,73,230,20,19.3,100.11,,,Mostly Cloudy
2013-01-05D16:00:00.000000000,0.2,-4,73,210,13,19.3,100.05,,,Cloudy
2013-01-05D17:00:00.000000000,0.2,-3.9,74,210,13,19.3,100.01,,,Cloudy
2013-01-05D18:00:00.000000000,-0.4,-3.8,78,210,22,19.3,100,,-6,Cloudy
2013-01-05D19:00:00.000000000,-0.9,-4.6,76,210,17,24.1,99.91,,-6,Cloudy
2013-01-05D20:00:00.000000000,-0.8,-4.2,78,210,11,24.1,99.89,,-5,Cloudy
